yil,isletmemudurluk,isletmeseflik,adet,hektar
2019,KOYCEGIZ,balcilar,1,0.5
2019,KOYCEGIZ,cayhisar,1,0.1
2019,KOYCEGIZ,otmanlar,4,0.41
2019,MARMARIS,bayir,1,0.01
2019,MARMARIS,cetibeli,3,9.82
2019,MARMARIS,datca,3,21.61
2019,MARMARIS,hisaronu,3,2.61
2019,MARMARIS,marmaris,11,0.59
2019,MARMARIS,emecik,0,0
2019,MARMARIS,karaca,0,0
2019,MILAS,bodrum,2,2.6
2019,MILAS,karacahisar,14,20.1
2019,MILAS,kayadere,2,0.3
2019,MILAS,milas,5,38.77
2019,MILAS,oren,5,1.46
2019,MILAS,saricay,7,6.1
2019,MILAS,selimiye,1,0.01
2019,MILAS,gürcamlar,2,10.02
2019,MILAS,mumcular,3,183.377
2019,MILAS,cökertme,1,0.2
2019,MILAS,guvercinlik,0,0
2019,MILAS,labranda,2,49.21
2019,MILAS,bafa,0,0
2019,MILAS,yali,0,0
2019,MUGLA,denizova,4,0.33
2019,MUGLA,gokova,3,0.42
2019,MUGLA,mugla,4,0.13
2019,MUGLA,yaras,5,0.32
2019,MUGLA,yerkesik,4,1.16
2019,MUGLA,ula,2,0.11
2019,MUGLA,karabortlen,4,0.43
2019,MUGLA,yesilyurt,2,0.02
2019,NAZILLI,bozdogan,3,0.44
2019,NAZILLI,karacasu,0,0
2019,NAZILLI,karincalidag,5,1.8
2019,NAZILLI,kemerbaraji,8,2.11
2019,NAZILLI,kuyucak,1,0.2
2019,NAZILLI,nazilli,1,0.04
2019,NAZILLI,saricaova,2,1.8
2019,NAZILLI,yenice,2,1.1
2019,NAZILLI,yenipazar,2,1.4
2019,NAZILLI,bozbey,1,0.2
2019,NAZILLI,kartal,0,0
2019,NAZILLI,karlik,0,0
2019,NAZILLI,menderes,2,0.6
2019,NAZILLI,bozyaka,0,0
2019,YATAGAN,bagyaka,6,0.19
2019,YATAGAN,mentescayi,4,1.58
2019,YATAGAN,turgut,2,0.21
2019,YATAGAN,yatagan1,1,0.02
2019,YATAGAN,kavak,3,0.52
2019,YATAGAN,bencik,3,0.04
2019,YILANLI,boyali,0,0
2019,YILANLI,goktepe,2,1.1
2019,YILANLI,yilanli,1,0.01
2019,YILANLI,muratlar,3,0.45
2019,YILANLI,senyayla,1,6
2019,YILANLI,cakmak,2,0.04
2019,YILANLI,yorukoglu,0,0
2019,YILANLI,namnam,2,0.02
2019,YILANLI,cinar,4,0.23
2019,YILANLI,kizilkaya,2,0.02
2019,KAVAKLIDERE,belibol,2,0.02
2019,KAVAKLIDERE,gokcay,1,1
2019,KAVAKLIDERE,kavaklidere,3,1.07
2019,KAVAKLIDERE,mentese,2,0.02
2019,KAVAKLIDERE,cayboyu,2,0.03
2019,DALAMAN,bahtiyar,6,0.16
2019,DALAMAN,caldere,3,0.14
2019,DALAMAN,dalaman,7,380.33
2019,DALAMAN,ortaca,14,16.2
2019,DALAMAN,kavacik,2,0.21
2019,DALAMAN,narli,0,0
2019,SEYDIKEMER,yapraktepe,3,0.21
2019,SEYDIKEMER,kemer,0,0
2019,SEYDIKEMER,seki,0,0
2019,SEYDIKEMER,saklikent,5,161
2019,SEYDIKEMER,esen,3,0.4
2019,SEYDIKEMER,akcay,2,0.3
2019,SEYDIKEMER,pasali,30.9
2019,SEYDIKEMER,karadere,6,1
2019,SEYDIKEMER,seydikemer,0,0
2020,AYDIN,akcaova,3,50.06
2020,AYDIN,aydin,1,0.5
2020,AYDIN,cine,1,0.05
2020,AYDIN,germencik,2,9.3
2020,AYDIN,karpuzlu,0,0
2020,AYDIN,kocarli,2,0.7
2020,AYDIN,kusadasi,1,0.2
2020,AYDIN,soke,5,231.45
2020,AYDIN,kosk,5,6.76
2020,AYDIN,madran,3,3.31
2020,AYDIN,didim,0,0
2020,FETHIYE,esenn,0,0
2020,FETHIYE,fethiye,12,1.22
2020,FETHIYE,gocek,2,0.22
2020,FETHIYE,guneydag,0,0
2020,FETHIYE,uzumlu,1,0.3
2020,FETHIYE,caldagi,1,0.1
2020,FETHIYE,karaculha,0,0
2020,KOYCEGIZ,agla,3,0.12
2020,KOYCEGIZ,akkopru,2,0.03
2020,KOYCEGIZ,beyobasi,3,0.07
2020,KOYCEGIZ,karacam,6,0.15
2020,KOYCEGIZ,koycegiz,2,0.13
2020,KOYCEGIZ,sultaniye,0,0
2020,KOYCEGIZ,balcilar,0,0
2020,KOYCEGIZ,cayhisar,0,0
2020,KOYCEGIZ,otmanlar,11,3.86
2020,MARMARIS,bayir,1,0.0001
2020,MARMARIS,cetibeli,3,0.05
2020,MARMARIS,datca,4,0.97
2020,MARMARIS,hisaronu,10,0.12
2020,MARMARIS,marmaris,9,0.78
2020,MARMARIS,emecik,0,0
2020,MARMARIS,karaca,4,0.41
2020,MILAS,bodrum,3,0.08
2020,MILAS,karacahisar,8,9.97
2020,MILAS,kayadere,3,1.3
2020,MILAS,milas,2,0.11
2020,MILAS,oren,0,0
2020,MILAS,saricay,6,3.14
2020,MILAS,selimiye,3,109.01
2020,MILAS,gürcamlar,1,0.01
2020,MILAS,mumcular,5,1.02
2020,MILAS,cökertme,2,1.74
2020,MILAS,guvercinlik,8,104.61
2020,MILAS,labranda,3,0.03
2020,MILAS,bafa,0,0
2020,MILAS,yali,0,0
2020,MUGLA,denizova,0,0
